mep_id,fullName,country,politicalGroup,nationalPoliticalGroup,meeting_id,topic,date,location,committee,position,lobbyist
96734,Ska KELLER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,96734_0,Rule of law in Bulgaria,19-11-2020,Online,,Member,Group of activists working in Bulgaria
96734,Ska KELLER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,96734_1,The upcoming multiannual financial framework (MFF),10-09-2020,"European Parliament, Brussels",,Member,Permanent Representation of Germany to the European Union
96734,Ska KELLER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,96734_2,Staff level meeting - Rule of law in Bulgaria,16-07-2020,Online,,Member,Greenpeace Bulgaria
96734,Ska KELLER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,96734_3,Staff level meeting - situation with the TurÃ³w coal mine,14-05-2020,Online,,Member,Frank Bold Foundation Czech Republic
96734,Ska KELLER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,96734_4,EU climate law,05-03-2020,"European Parliament, Brussels",,Member,activist
96734,Ska KELLER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,96734_5,Staff level meeting - Global Ocean Treaty negotiations,20-02-2020,Brussels,PECH,Member,Greenpeace
96734,Ska KELLER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,96734_6,Current security policy issues,18-02-2020,"European Parliament, Brussels",,Member,Federal Office for the Protection of the Constitution of Germany
96734,Ska KELLER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,96734_7,Exchange of views,18-02-2020,"European Parliament, Brussels",,Member,Mission of Mexico to the European Union
96734,Ska KELLER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,96734_8,Exchange of views,18-02-2020,"European Parliament, Brussels",,Member,Breaking the Silence
96734,Ska KELLER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,96734_9,Exchange of views,04-02-2020,"European Parliament, Brussels",,Member,Mission of Mexico to the European Union
96734,Ska KELLER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,96734_10,Upcoming German presidency of the European Council,23-01-2020,"European Parliament, Brussels",,Member,Permanent Representation of Germany to the European Union
96734,Ska KELLER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,96734_11,Peace-building process between Israel and Palestine,04-12-2019,"European Parliament, Brussels",,Member,The Mossawa Center – The Advocacy Center for Arab Citizens of Israel
96734,Ska KELLER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,96734_12,Petition on preserving the Kresna Gorge,03-12-2019,"European Parliament, Brussels",,Member,Petitioners of the 'Save the Kresna Gorge' petition
96734,Ska KELLER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,96734_13,Staff level meeting - EU fisheries policy,05-11-2019,"European Parliament, Brussels",PECH,Member,Europeche
96734,Ska KELLER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,96734_14,Determining avenues for future cooperation,04-11-2019,"European Parliament, Brussels",,Member,DGB – German Trade Union Confederation
96734,Ska KELLER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,96734_15,European Maritime and Fisheries Fund (EMFF),04-11-2019,"European Parliament, Brussels",PECH,Member,Seas at Risk
96734,Ska KELLER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,96734_16,Campaign on the reform of the EU’s Common Agricultural Policy,22-10-2019,"European Parliament, Strasbourg",,Member,NABU – Naturschutzbund Deutschland
96734,Ska KELLER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,96734_17,The priorities of the German Council Presidency 2020 and the next multiannual financial framework (MFF),22-10-2019,"European Parliament, Strasbourg",,Member,Federal Foreign Office of Germany
96734,Ska KELLER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,96734_18,EP re-organisation and the next legislative cycle,03-07-2019,"European Parliament, Strasbourg",,Member,Deputy Permanent Representative of Finland to the EU
