mep_id,fullName,country,politicalGroup,nationalPoliticalGroup,meeting_id,topic,date,location,committee,position,lobbyist
197403,Alex AGIUS SALIBA,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista,197403_0,DSA,17-11-2020,Online meeting,IMCO,Rapporteur - DSA report,GSMA
197403,Alex AGIUS SALIBA,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista,197403_1,DSA,17-11-2020,Online meeting,IMCO,Rapporteur - DSA report,Uber global Data Protection officer & EU40
197403,Alex AGIUS SALIBA,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista,197403_2,DSA,16-11-2020,Online meeting,IMCO,Rapporteur - DSA report,Ebay
197403,Alex AGIUS SALIBA,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista,197403_3,DSA,16-11-2020,Online meeting,IMCO,Rapporteur - DSA report,TikTok
197403,Alex AGIUS SALIBA,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista,197403_4,DIgital Competition,13-11-2020,Online meeting,IMCO,Rapporteur - DSA report,BBVA
197403,Alex AGIUS SALIBA,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista,197403_5,Common Charger,12-11-2020,Online meeting,IMCO,Member,Apple
197403,Alex AGIUS SALIBA,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista,197403_6,Artificial Intelligence,11-11-2020,Onine meeting,AIDA,Member,EDIMA
197403,Alex AGIUS SALIBA,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista,197403_7,DSA,05-11-2020,Online meeting,IMCO,Rapporteur - DSA report,Business Europe
197403,Alex AGIUS SALIBA,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista,197403_8,Right to Disconnect,05-11-2020,Malta,EMPL,Rapporteur - RIght to Disconnect report,MBB and Chamber of Commerce
197403,Alex AGIUS SALIBA,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista,197403_9,DSA,03-11-2020,Online event,IMCO,Rapporteur - DSA report,Spotify
197403,Alex AGIUS SALIBA,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista,197403_10,DSA,03-11-2020,Online meeting,IMCO,Rapporteur - DSA report,CISPE
