mep_id,meeting_id,topic,time,location,committee,rapporteur,lobbyist
124726,0,Digital Services Act,27-05-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,Zalando
124726,1,Digital Services Act,27-05-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,WFA – World Federation of Advertisers
124726,2,Digital Services Act,26-05-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,EBU – European Broadcasting Union
124726,3,Digital Services Act,26-05-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,ISFE – Interactive Software Federation of Europe
124726,4,Digital Services Act,20-05-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,AIG – Advertisement Information Group
124726,5,Digital Services Act,20-05-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,Bitkom
124726,6,EU Climate and Energy Policy,18-05-2021,Online,,Member,MTK – The Central Union of Agricultural Producers and Forest Owners
124726,7,Digital Services Act,07-05-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,MVNO Europe
124726,8,Digital Services Act,07-05-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,Facebook
124726,9,EU Transport Policy,07-05-2021,Online,,Member,2030-Sekretariatet
124726,10,Digital Services Act,06-05-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,Skyscanner
124726,11,EU Transport Policy,06-05-2021,Online,,Member,UNIFE â€“ The Association of the European Rail Manufacturing industry
124726,12,Current EU Affairs,04-05-2021,Online,,Member,Ambassador of the Republic of Tunisia
124726,13,EU Climate and Energy Policy,04-05-2021,Online,,Member,The Cobalt Institute
124726,14,EU Cybersecurity Strategy,04-05-2021,Online,,Member,Kaspersky
124726,15,Current EU Affairs,03-05-2021,Online,,Member,The Chemical Industry Federation of Finland
124726,15,Current EU Affairs,03-05-2021,Online,,Member,The Finnish Forest Industries Federation
124726,15,Current EU Affairs,03-05-2021,Online,,Member,The Technology Industries of Finland
124726,16,EU Transport Policy,03-05-2021,Online,,Member,Finnish Shipowners' Association
124726,17,Digital Services Act,29-04-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,Booking.com
124726,18,EU Climate and Energy Policy,29-04-2021,Online,,Member,Finnish Energy
124726,19,Digital Services Act,28-04-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,Pinterest
124726,20,Circular Economy,23-04-2021,Online,,Member,FEAD – The European Waste Management Association
